Month,Crime Type,Crime Count
November,INTERFERENCE WITH PUBLIC OFFICER,891
October,INTERFERENCE WITH PUBLIC OFFICER,1059
September,INTERFERENCE WITH PUBLIC OFFICER,1198
April,INTIMIDATION,264
August,INTIMIDATION,298
December,INTIMIDATION,209
February,INTIMIDATION,209
January,INTIMIDATION,248
July,INTIMIDATION,302
June,INTIMIDATION,276
March,INTIMIDATION,269
May,INTIMIDATION,315
November,INTIMIDATION,225
October,INTIMIDATION,319
September,INTIMIDATION,315
April,KIDNAPPING,401
August,KIDNAPPING,429
December,KIDNAPPING,412
February,KIDNAPPING,348
January,KIDNAPPING,395
July,KIDNAPPING,433
June,KIDNAPPING,479
March,KIDNAPPING,399
May,KIDNAPPING,542
November,KIDNAPPING,421
October,KIDNAPPING,429
September,KIDNAPPING,450
April,LIQUOR LAW VIOLATION,1044
August,LIQUOR LAW VIOLATION,1054
December,LIQUOR LAW VIOLATION,605
February,LIQUOR LAW VIOLATION,821
January,LIQUOR LAW VIOLATION,847
July,LIQUOR LAW VIOLATION,1029
June,LIQUOR LAW VIOLATION,1213
March,LIQUOR LAW VIOLATION,1047
May,LIQUOR LAW VIOLATION,1086
November,LIQUOR LAW VIOLATION,839
October,LIQUOR LAW VIOLATION,997
September,LIQUOR LAW VIOLATION,1004
April,MOTOR VEHICLE THEFT,20270
August,MOTOR VEHICLE THEFT,23729
December,MOTOR VEHICLE THEFT,21352
February,MOTOR VEHICLE THEFT,17312
January,MOTOR VEHICLE THEFT,20781
July,MOTOR VEHICLE THEFT,23866
June,MOTOR VEHICLE THEFT,22813
March,MOTOR VEHICLE THEFT,20268
May,MOTOR VEHICLE THEFT,22450
November,MOTOR VEHICLE THEFT,21414
October,MOTOR VEHICLE THEFT,23103
September,MOTOR VEHICLE THEFT,22448
April,NARCOTICS,51629
August,NARCOTICS,54949
December,NARCOTICS,44857
February,NARCOTICS,49312
January,NARCOTICS,50987
July,NARCOTICS,53030
June,NARCOTICS,50416
March,NARCOTICS,53629
May,NARCOTICS,54063
November,NARCOTICS,49756
October,NARCOTICS,53193
September,NARCOTICS,52387
April,NON-CRIMINAL,2
August,NON-CRIMINAL,11
December,NON-CRIMINAL,4
February,NON-CRIMINAL,7
January,NON-CRIMINAL,3
July,NON-CRIMINAL,10
June,NON-CRIMINAL,6
March,NON-CRIMINAL,8
May,NON-CRIMINAL,6
November,NON-CRIMINAL,9
October,NON-CRIMINAL,12
September,NON-CRIMINAL,11
April,NON-CRIMINAL (SUBJECT SPECIFIED),0
August,NON-CRIMINAL (SUBJECT SPECIFIED),0
December,NON-CRIMINAL (SUBJECT SPECIFIED),1
February,NON-CRIMINAL (SUBJECT SPECIFIED),1
January,NON-CRIMINAL (SUBJECT SPECIFIED),1
July,NON-CRIMINAL (SUBJECT SPECIFIED),0
June,NON-CRIMINAL (SUBJECT SPECIFIED),0
March,NON-CRIMINAL (SUBJECT SPECIFIED),0
May,NON-CRIMINAL (SUBJECT SPECIFIED),0
